batch,level,missing_mode,missing_rate,missing_rate_pct,imputation_method,config_type,mae,rmse,r2,seed,architecture
3C,level_4,MCAR,0.0,0.0,knn,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn
3C,level_4,MCAR,0.05,5.0,knn,baseline,0.0587763568916186,0.0865228896102355,-0.1521545374426582,7,cnn
3C,level_4,MCAR,0.1,10.0,knn,baseline,0.0589662123162469,0.0884004030885962,-0.2026996783240731,7,cnn
3C,level_4,MCAR,0.15,15.0,knn,baseline,0.0590117660513516,0.0861445864685349,-0.1421014561817422,7,cnn
3C,level_4,MCAR,0.2,20.0,knn,baseline,0.0560448476963557,0.0736363599383837,0.1654865743454114,7,cnn
3C,level_4,MCAR,0.25,25.0,knn,baseline,0.0581815907488394,0.0837119327712189,-0.0785081779777443,7,cnn
3C,level_4,MCAR,0.3,30.0,knn,baseline,0.0564698923945007,0.0772578206423878,0.0813848360568356,7,cnn
3C,level_4,MCAR,0.35,35.0,knn,baseline,0.0564562240010269,0.075503804893731,0.1226227286979945,7,cnn
3C,level_4,MCAR,0.4,40.0,knn,baseline,0.0542251710925264,0.0719876382883585,0.2024378125525965,7,cnn
3C,level_4,MCAR,0.45,45.0,knn,baseline,0.056805841785802,0.0821756077102477,-0.0392847463312313,7,cnn
3C,level_4,MCAR,0.5,50.0,knn,baseline,0.054965569695163,0.0728959066010191,0.1821851591444812,7,cnn
3C,level_4,MCAR,0.55,55.00000000000001,knn,baseline,0.054763765197566,0.0716606837136406,0.2096661210533899,7,cnn
3C,level_4,MCAR,0.6000000000000001,60.00000000000001,knn,baseline,0.053926153729697,0.0722725602018263,0.1961119306202079,7,cnn
3C,level_4,MCAR,0.65,65.0,knn,baseline,0.0525932407546854,0.0682004041344777,0.2841490584808966,7,cnn
3C,level_4,MCAR,0.7000000000000001,70.0,knn,baseline,0.0546990193873469,0.0729089939001356,0.1818914815233717,7,cnn
3C,level_4,MCAR,0.75,75.0,knn,baseline,0.0571412399164537,0.0768888530537949,0.0901381212721883,7,cnn
3C,level_4,MCAR,0.8,80.0,knn,baseline,0.052787262122768,0.0725628881238747,0.1896403200164399,7,cnn
3C,level_4,MCAR,0.8500000000000001,85.00000000000001,knn,baseline,0.0650842566674647,0.0863248519815994,-0.1468863631959325,7,cnn
3C,level_4,MCAR,0.9,90.0,knn,baseline,0.1042367894070928,0.1308546979717983,-1.6352835006892756,7,cnn
3C,level_4,MCAR,0.95,95.0,knn,baseline,0.1985819071415301,0.2274632807099512,-6.962900729579437,7,cnn
3C,level_4,MAR,0.0,0.0,knn,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn
3C,level_4,MAR,0.05,5.0,knn,baseline,0.0589248176286256,0.0854573419756013,-0.1239512260187667,7,cnn
3C,level_4,MAR,0.1,10.0,knn,baseline,0.0586671529347284,0.0855140373335981,-0.1254430569982358,7,cnn
3C,level_4,MAR,0.15,15.0,knn,baseline,0.0575245955513063,0.0787432995510351,0.0457197799975763,7,cnn
3C,level_4,MAR,0.2,20.0,knn,baseline,0.0566908083465146,0.0800209132128496,0.0145020826673681,7,cnn
3C,level_4,MAR,0.25,25.0,knn,baseline,0.0582808744177868,0.0839573907528121,-0.0848421986291021,7,cnn
3C,level_4,MAR,0.3,30.0,knn,baseline,0.0564894196352673,0.0770523788433906,0.0862638509779505,7,cnn
3C,level_4,MAR,0.35,35.0,knn,baseline,0.0556783090683108,0.0736803452680645,0.1644893139943238,7,cnn
3C,level_4,MAR,0.4,40.0,knn,baseline,0.0563084540775205,0.0797417209780975,0.0213668725956889,7,cnn
3C,level_4,MAR,0.45,45.0,knn,baseline,0.0542837569548684,0.0707634254370333,0.2293336450598617,7,cnn
3C,level_4,MAR,0.5,50.0,knn,baseline,0.0560027032284216,0.0767382893478344,0.093698014337022,7,cnn
3C,level_4,MAR,0.55,55.00000000000001,knn,baseline,0.0562984878756935,0.0775307881366734,0.0748820624524834,7,cnn
3C,level_4,MAR,0.6000000000000001,60.00000000000001,knn,baseline,0.0593037239121664,0.0854712384135825,-0.124316792933472,7,cnn
3C,level_4,MAR,0.65,65.0,knn,baseline,0.0549096978915394,0.0787392056010703,0.0458190055554751,7,cnn
3C,level_4,MAR,0.7000000000000001,70.0,knn,baseline,0.061559531492477,0.0875298885533047,-0.1791293650984626,7,cnn
3C,level_4,MAR,0.75,75.0,knn,baseline,0.0648465036021028,0.0932263993779688,-0.337600819986938,7,cnn
3C,level_4,MAR,0.8,80.0,knn,baseline,0.0654214031771786,0.0952611231637881,-0.3966259255324884,7,cnn
3C,level_4,MAR,0.8500000000000001,85.00000000000001,knn,baseline,0.0784531960582397,0.1183869052051256,-1.1570292757697729,7,cnn
3C,level_4,MAR,0.9,90.0,knn,baseline,0.089313677048767,0.1322211560467618,-1.6906090843839707,7,cnn
3C,level_4,MAR,0.95,95.0,knn,baseline,0.1045570960777166,0.1542549843764021,-2.6620740041877564,7,cnn
3C,level_4,MNAR,0.0,0.0,knn,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn
3C,level_4,MNAR,0.05,5.0,knn,baseline,0.0584607517917718,0.0863392160576981,-0.1472680686542531,7,cnn
3C,level_4,MNAR,0.1,10.0,knn,baseline,0.0573872063794421,0.0770442526637079,0.0864565716362792,7,cnn
3C,level_4,MNAR,0.15,15.0,knn,baseline,0.0587546616070156,0.0849983177880384,-0.1119093070411005,7,cnn
3C,level_4,MNAR,0.2,20.0,knn,baseline,0.0574361044502481,0.0810995941374001,-0.0122459918021402,7,cnn
3C,level_4,MNAR,0.25,25.0,knn,baseline,0.0576468823557023,0.0845332091303226,-0.099773920855366,7,cnn
3C,level_4,MNAR,0.3,30.0,knn,baseline,0.0578929049949154,0.0836162571426204,-0.0760443003081161,7,cnn
3C,level_4,MNAR,0.35,35.0,knn,baseline,0.0553170884535991,0.0755163320840999,0.1223315649901912,7,cnn
3C,level_4,MNAR,0.4,40.0,knn,baseline,0.0554251877135157,0.0754920241265267,0.1228964995636473,7,cnn
3C,level_4,MNAR,0.45,45.0,knn,baseline,0.0569174208937328,0.0809423121902096,-0.0083235643015302,7,cnn
