batch,level,missing_mode,missing_rate,missing_rate_pct,imputation_method,config_type,mae,rmse,r2,seed,architecture,param_count
3C,level_4,MCAR,0.0,0.0,zero,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn,36185
3C,level_4,MCAR,0.0,0.0,mean,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn,36185
3C,level_4,MCAR,0.0,0.0,iterative,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn,36185
3C,level_4,MCAR,0.05,5.0,zero,baseline,0.0852342761253276,0.1258869017044727,-1.438988732836119,7,cnn,36185
3C,level_4,MCAR,0.05,5.0,mean,baseline,0.0787117171438469,0.1251294426687528,-1.4097263387123862,7,cnn,36185
3C,level_4,MCAR,0.05,5.0,iterative,baseline,0.069940626797335,0.106147660142682,-0.7340816985433034,7,cnn,36185
3C,level_4,MCAR,0.1,10.0,zero,baseline,0.1008631735954866,0.1534704632729621,-2.62491904857476,7,cnn,36185
3C,level_4,MCAR,0.1,10.0,mean,baseline,0.1058349905774294,0.170196662450276,-3.458110028072843,7,cnn,36185
3C,level_4,MCAR,0.1,10.0,iterative,baseline,0.0855838448277391,0.1319272851812046,-1.6786622377505056,7,cnn,36185
3C,level_4,MCAR,0.15,15.0,zero,baseline,0.1334571242651095,0.22586378330676,-6.851305946816104,7,cnn,36185
3C,level_4,MCAR,0.15,15.0,mean,baseline,0.1248360744322031,0.1760078625128568,-3.7677430499137294,7,cnn,36185
3C,level_4,MCAR,0.15,15.0,iterative,baseline,0.1195203932172947,0.177976929513622,-3.8750168838177625,7,cnn,36185
3C,level_4,MCAR,0.2,20.0,zero,baseline,0.1403525584926359,0.2151813417297605,-6.126198681567447,7,cnn,36185
3C,level_4,MCAR,0.2,20.0,mean,baseline,0.1426990996670471,0.2045847922447384,-5.441624411084784,7,cnn,36185
3C,level_4,MCAR,0.2,20.0,iterative,baseline,0.1431867073434738,0.2074516960371494,-5.6234259270969496,7,cnn,36185
3C,level_4,MCAR,0.25,25.0,zero,baseline,0.1503368321795536,0.2100053635310829,-5.787494296642558,7,cnn,36185
3C,level_4,MCAR,0.25,25.0,mean,baseline,0.1579885058028477,0.2388230885903392,-7.778116196530476,7,cnn,36185
3C,level_4,MCAR,0.25,25.0,iterative,baseline,0.1942482793210958,0.2880453348898419,-11.769397193993331,7,cnn,36185
3C,level_4,MCAR,0.3,30.0,zero,baseline,0.1680506684257444,0.2499452145666887,-8.614757975632926,7,cnn,36185
3C,level_4,MCAR,0.3,30.0,mean,baseline,0.1529201600174272,0.2297006826032133,-7.120322464555105,7,cnn,36185
3C,level_4,MCAR,0.3,30.0,iterative,baseline,0.2223049311486945,0.3309901882073021,-15.860829776892182,7,cnn,36185
3C,level_4,MCAR,0.35,35.0,zero,baseline,0.1845652333166786,0.2675903260064606,-10.020201144788516,7,cnn,36185
3C,level_4,MCAR,0.35,35.0,mean,baseline,0.1813642018565259,0.2716879088758987,-10.360287605399732,7,cnn,36185
3C,level_4,MCAR,0.35,35.0,iterative,baseline,0.2601260050598091,0.3754952375237117,-20.69989190397562,7,cnn,36185
3C,level_4,MCAR,0.4,40.0,zero,baseline,0.1828493753469004,0.264902879048432,-9.7999578599161,7,cnn,36185
3C,level_4,MCAR,0.4,40.0,mean,baseline,0.182561867190693,0.2490781038220063,-8.548162594041111,7,cnn,36185
3C,level_4,MCAR,0.4,40.0,iterative,baseline,0.3166156482528829,0.4624060806186515,-31.90756721148786,7,cnn,36185
3C,level_4,MCAR,0.45,45.0,zero,baseline,0.2123180897736186,0.2998796338678097,-12.84020898800967,7,cnn,36185
3C,level_4,MCAR,0.45,45.0,mean,baseline,0.2149689968104658,0.3271952321583753,-15.476411778936374,7,cnn,36185
3C,level_4,MCAR,0.45,45.0,iterative,baseline,0.3378444468497111,0.5079887279912065,-38.71520928061626,7,cnn,36185
3C,level_4,MCAR,0.5,50.0,zero,baseline,0.2093918555909276,0.2785624868521698,-10.942464694306569,7,cnn,36185
3C,level_4,MCAR,0.5,50.0,mean,baseline,0.2361612875078655,0.3335837414580035,-16.126099188453285,7,cnn,36185
3C,level_4,MCAR,0.5,50.0,iterative,baseline,0.3283095903452507,0.4702242471355241,-33.02974883937057,7,cnn,36185
3C,level_4,MCAR,0.55,55.00000000000001,zero,baseline,0.2195426785199611,0.2898788520176514,-11.932478637194707,7,cnn,36185
3C,level_4,MCAR,0.55,55.00000000000001,mean,baseline,0.2144668549160884,0.305746837284963,-13.387079742835942,7,cnn,36185
3C,level_4,MCAR,0.55,55.00000000000001,iterative,baseline,0.3617381334684937,0.5787503430997438,-50.55030357628908,7,cnn,36185
3C,level_4,MCAR,0.6000000000000001,60.00000000000001,zero,baseline,0.2452687436994885,0.3353307715602725,-16.305953026918797,7,cnn,36185
3C,level_4,MCAR,0.6000000000000001,60.00000000000001,mean,baseline,0.2417568939841785,0.3298040531148472,-15.740201504318344,7,cnn,36185
3C,level_4,MCAR,0.6000000000000001,60.00000000000001,iterative,baseline,0.3702295158258775,0.5420106302395492,-44.21310287416864,7,cnn,36185
3C,level_4,MCAR,0.65,65.0,zero,baseline,0.2357536981790594,0.2901446152475189,-11.956202705321076,7,cnn,36185
3C,level_4,MCAR,0.65,65.0,mean,baseline,0.2343929451699832,0.286626368098997,-11.643898054358372,7,cnn,36185
3C,level_4,MCAR,0.65,65.0,iterative,baseline,0.3428739734383568,0.5142288922724696,-39.69693030117228,7,cnn,36185
3C,level_4,MCAR,0.7000000000000001,70.0,zero,baseline,0.2753710471127545,0.3487241725246513,-17.715990196252392,7,cnn,36185
3C,level_4,MCAR,0.7000000000000001,70.0,mean,baseline,0.2616043007605799,0.3218627663907741,-14.943739266338945,7,cnn,36185
3C,level_4,MCAR,0.7000000000000001,70.0,iterative,baseline,0.375732511063114,0.5164565475183377,-40.05029472636825,7,cnn,36185
3C,level_4,MCAR,0.75,75.0,zero,baseline,0.2941920992089883,0.3435664033992388,-17.166450559964698,7,cnn,36185
3C,level_4,MCAR,0.75,75.0,mean,baseline,0.3104246649557652,0.3522476562292531,-18.096110909963475,7,cnn,36185
3C,level_4,MCAR,0.75,75.0,iterative,baseline,0.3608244898573595,0.5384615075518149,-43.62292450379397,7,cnn,36185
3C,level_4,MCAR,0.8,80.0,zero,baseline,0.2883280802153199,0.3351677798694876,-16.289133568288282,7,cnn,36185
3C,level_4,MCAR,0.8,80.0,mean,baseline,0.3184974383491704,0.354247017164581,-18.313505533093245,7,cnn,36185
