exp_id,seed,model,method,status,created_at,started_at,completed_at,metrics,log_file,error_message,device,duration_seconds,eval_missing_rates,mim_train_missing_rates,timestamp,run_dir
seed42_mlp_baseline,42,mlp,baseline,completed,2026-03-08 02:37:04,,2026-03-08 02:40:30,"{""mr_results"": [{""missing_rate"": 0.0, ""test_mae"": 0.0127}, {""missing_rate"": 0.1, ""test_mae"": 0.0146}, {""missing_rate"": 0.2, ""test_mae"": 0.0163}, {""missing_rate"": 0.3, ""test_mae"": 0.0186}, {""missing_rate"": 0.4, ""test_mae"": 0.0215}, {""missing_rate"": 0.5, ""test_mae"": 0.0241}, {""missing_rate"": 0.6, ""test_mae"": 0.0272}, {""missing_rate"": 0.7, ""test_mae"": 0.0301}, {""missing_rate"": 0.8, ""test_mae"": 0.0327}, {""missing_rate"": 0.9, ""test_mae"": 0.0362}], ""test_mae_mean"": 0.023399999999999997, ""test_mae_max"": 0.0362, ""test_mae_min"": 0.0127, ""test_mae"": 0.0362, ""missing_rate"": 0.9}",experiments/logs/seed42_mlp_baseline.log,,,20.561137199401855,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9","0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",20260308_023704,experiments/runs/20260308_023704
seed42_mlp_mim,42,mlp,mim,completed,2026-03-08 02:37:04,,2026-03-08 02:41:10,"{""mr_results"": [{""missing_rate"": 0.0, ""test_mae"": 0.0062}, {""missing_rate"": 0.1, ""test_mae"": 0.0065}, {""missing_rate"": 0.2, ""test_mae"": 0.0067}, {""missing_rate"": 0.3, ""test_mae"": 0.007}, {""missing_rate"": 0.4, ""test_mae"": 0.0074}, {""missing_rate"": 0.5, ""test_mae"": 0.0081}, {""missing_rate"": 0.6, ""test_mae"": 0.0093}, {""missing_rate"": 0.7, ""test_mae"": 0.0112}, {""missing_rate"": 0.8, ""test_mae"": 0.0137}, {""missing_rate"": 0.9, ""test_mae"": 0.022}], ""test_mae_mean"": 0.00981, ""test_mae_max"": 0.022, ""test_mae_min"": 0.0062, ""test_mae"": 0.022, ""missing_rate"": 0.9}",experiments/logs/seed42_mlp_mim.log,,,60.36996006965637,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9","0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",20260308_023704,experiments/runs/20260308_023704
seed42_lstm_baseline,42,lstm,baseline,completed,2026-03-08 02:37:04,,2026-03-08 02:40:32,"{""mr_results"": [{""missing_rate"": 0.0, ""test_mae"": 0.0077}, {""missing_rate"": 0.1, ""test_mae"": 0.0079}, {""missing_rate"": 0.2, ""test_mae"": 0.0087}, {""missing_rate"": 0.3, ""test_mae"": 0.0102}, {""missing_rate"": 0.4, ""test_mae"": 0.0144}, {""missing_rate"": 0.5, ""test_mae"": 0.0216}, {""missing_rate"": 0.6, ""test_mae"": 0.0332}, {""missing_rate"": 0.7, ""test_mae"": 0.0457}, {""missing_rate"": 0.8, ""test_mae"": 0.0598}, {""missing_rate"": 0.9, ""test_mae"": 0.0795}], ""test_mae_mean"": 0.02887, ""test_mae_max"": 0.0795, ""test_mae_min"": 0.0077, ""test_mae"": 0.0795, ""missing_rate"": 0.9}",experiments/logs/seed42_lstm_baseline.log,,,21.92223620414734,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9","0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",20260308_023704,experiments/runs/20260308_023704
seed42_lstm_mim,42,lstm,mim,completed,2026-03-08 02:37:04,,2026-03-08 02:41:24,"{""mr_results"": [{""missing_rate"": 0.0, ""test_mae"": 0.0065}, {""missing_rate"": 0.1, ""test_mae"": 0.0065}, {""missing_rate"": 0.2, ""test_mae"": 0.0067}, {""missing_rate"": 0.3, ""test_mae"": 0.007}, {""missing_rate"": 0.4, ""test_mae"": 0.0073}, {""missing_rate"": 0.5, ""test_mae"": 0.0079}, {""missing_rate"": 0.6, ""test_mae"": 0.0085}, {""missing_rate"": 0.7, ""test_mae"": 0.0098}, {""missing_rate"": 0.8, ""test_mae"": 0.0129}, {""missing_rate"": 0.9, ""test_mae"": 0.0209}], ""test_mae_mean"": 0.0094, ""test_mae_max"": 0.0209, ""test_mae_min"": 0.0065, ""test_mae"": 0.0209, ""missing_rate"": 0.9}",experiments/logs/seed42_lstm_mim.log,,,74.42475581169128,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9","0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",20260308_023704,experiments/runs/20260308_023704
seed42_gru_baseline,42,gru,baseline,completed,2026-03-08 02:37:04,,2026-03-08 02:42:55,"{""mr_results"": [{""missing_rate"": 0.0, ""test_mae"": 0.0077}, {""missing_rate"": 0.1, ""test_mae"": 0.0095}, {""missing_rate"": 0.2, ""test_mae"": 0.0111}, {""missing_rate"": 0.3, ""test_mae"": 0.0133}, {""missing_rate"": 0.4, ""test_mae"": 0.0158}, {""missing_rate"": 0.5, ""test_mae"": 0.018}, {""missing_rate"": 0.6, ""test_mae"": 0.0216}, {""missing_rate"": 0.7, ""test_mae"": 0.0249}, {""missing_rate"": 0.8, ""test_mae"": 0.0287}, {""missing_rate"": 0.9, ""test_mae"": 0.0323}], ""test_mae_mean"": 0.01829, ""test_mae_max"": 0.0323, ""test_mae_min"": 0.0077, ""test_mae"": 0.0323, ""missing_rate"": 0.9}",experiments/logs/seed42_gru_baseline.log,Process exited with code 1,,12.374325037002563,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9","0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",20260308_023704,experiments/runs/20260308_023704
seed42_gru_mim,42,gru,mim,completed,2026-03-08 02:37:04,,2026-03-08 02:43:14,"{""mr_results"": [{""missing_rate"": 0.0, ""test_mae"": 0.0057}, {""missing_rate"": 0.1, ""test_mae"": 0.0064}, {""missing_rate"": 0.2, ""test_mae"": 0.007}, {""missing_rate"": 0.3, ""test_mae"": 0.0072}, {""missing_rate"": 0.4, ""test_mae"": 0.0075}, {""missing_rate"": 0.5, ""test_mae"": 0.0079}, {""missing_rate"": 0.6, ""test_mae"": 0.0085}, {""missing_rate"": 0.7, ""test_mae"": 0.0101}, {""missing_rate"": 0.8, ""test_mae"": 0.0152}, {""missing_rate"": 0.9, ""test_mae"": 0.025}], ""test_mae_mean"": 0.01005, ""test_mae_max"": 0.025, ""test_mae_min"": 0.0057, ""test_mae"": 0.025, ""missing_rate"": 0.9}",experiments/logs/seed42_gru_mim.log,Process exited with code 1,,31.140840768814087,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9","0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",20260308_023704,experiments/runs/20260308_023704
seed42_cnn1d_baseline,42,cnn1d,baseline,completed,2026-03-08 02:37:04,,2026-03-08 02:41:48,"{""mr_results"": [{""missing_rate"": 0.0, ""test_mae"": 0.0183}, {""missing_rate"": 0.1, ""test_mae"": 0.0297}, {""missing_rate"": 0.2, ""test_mae"": 0.0394}, {""missing_rate"": 0.3, ""test_mae"": 0.0459}, {""missing_rate"": 0.4, ""test_mae"": 0.051}, {""missing_rate"": 0.5, ""test_mae"": 0.0558}, {""missing_rate"": 0.6, ""test_mae"": 0.0607}, {""missing_rate"": 0.7, ""test_mae"": 0.0667}, {""missing_rate"": 0.8, ""test_mae"": 0.0733}, {""missing_rate"": 0.9, ""test_mae"": 0.0816}], ""test_mae_mean"": 0.052239999999999995, ""test_mae_max"": 0.0816, ""test_mae_min"": 0.0183, ""test_mae"": 0.0816, ""missing_rate"": 0.9}",experiments/logs/seed42_cnn1d_baseline.log,,,21.337387800216675,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9","0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",20260308_023704,experiments/runs/20260308_023704
seed42_cnn1d_mim,42,cnn1d,mim,completed,2026-03-08 02:37:04,,2026-03-08 02:42:37,"{""mr_results"": [{""missing_rate"": 0.0, ""test_mae"": 0.0077}, {""missing_rate"": 0.1, ""test_mae"": 0.0073}, {""missing_rate"": 0.2, ""test_mae"": 0.0071}, {""missing_rate"": 0.3, ""test_mae"": 0.007}, {""missing_rate"": 0.4, ""test_mae"": 0.0071}, {""missing_rate"": 0.5, ""test_mae"": 0.0074}, {""missing_rate"": 0.6, ""test_mae"": 0.0079}, {""missing_rate"": 0.7, ""test_mae"": 0.0093}, {""missing_rate"": 0.8, ""test_mae"": 0.0118}, {""missing_rate"": 0.9, ""test_mae"": 0.0186}], ""test_mae_mean"": 0.00912, ""test_mae_max"": 0.0186, ""test_mae_min"": 0.007, ""test_mae"": 0.0186, ""missing_rate"": 0.9}",experiments/logs/seed42_cnn1d_mim.log,,,70.68991017341614,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9","0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",20260308_023704,experiments/runs/20260308_023704
seed43_mlp_baseline,43,mlp,baseline,completed,2026-03-08 02:37:04,,2026-03-08 02:43:36,"{""mr_results"": [{""missing_rate"": 0.0, ""test_mae"": 0.0122}, {""missing_rate"": 0.1, ""test_mae"": 0.0127}, {""missing_rate"": 0.2, ""test_mae"": 0.0135}, {""missing_rate"": 0.3, ""test_mae"": 0.015}, {""missing_rate"": 0.4, ""test_mae"": 0.0174}, {""missing_rate"": 0.5, ""test_mae"": 0.0198}, {""missing_rate"": 0.6, ""test_mae"": 0.0232}, {""missing_rate"": 0.7, ""test_mae"": 0.0261}, {""missing_rate"": 0.8, ""test_mae"": 0.0285}, {""missing_rate"": 0.9, ""test_mae"": 0.0334}], ""test_mae_mean"": 0.02018, ""test_mae_max"": 0.0334, ""test_mae_min"": 0.0122, ""test_mae"": 0.0334, ""missing_rate"": 0.9}",experiments/logs/seed43_mlp_baseline.log,,,19.761323928833008,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9","0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",20260308_023704,experiments/runs/20260308_023704
seed43_mlp_mim,43,mlp,mim,completed,2026-03-08 02:37:04,,2026-03-08 02:44:10,"{""mr_results"": [{""missing_rate"": 0.0, ""test_mae"": 0.0063}, {""missing_rate"": 0.1, ""test_mae"": 0.0066}, {""missing_rate"": 0.2, ""test_mae"": 0.0069}, {""missing_rate"": 0.3, ""test_mae"": 0.0071}, {""missing_rate"": 0.4, ""test_mae"": 0.0074}, {""missing_rate"": 0.5, ""test_mae"": 0.0083}, {""missing_rate"": 0.6, ""test_mae"": 0.0098}, {""missing_rate"": 0.7, ""test_mae"": 0.0113}, {""missing_rate"": 0.8, ""test_mae"": 0.0141}, {""missing_rate"": 0.9, ""test_mae"": 0.0233}], ""test_mae_mean"": 0.01011, ""test_mae_max"": 0.0233, ""test_mae_min"": 0.0063, ""test_mae"": 0.0233, ""missing_rate"": 0.9}",experiments/logs/seed43_mlp_mim.log,,,54.08808755874634,"0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9","0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",20260308_023704,experiments/runs/20260308_023704
