model,method,missing_rate,mean,std,count
cnn1d,baseline,0.0,0.027761,0.007375483480129054,100
cnn1d,baseline,0.1,0.044455,0.00823886300628695,100
cnn1d,baseline,0.2,0.056026,0.009494013211950304,100
cnn1d,baseline,0.3,0.062097,0.010211198596035467,100
cnn1d,baseline,0.4,0.065887,0.010555487394782596,100
cnn1d,baseline,0.5,0.071319,0.011320587262134241,100
cnn1d,baseline,0.6,0.077813,0.013591453456886315,100
cnn1d,baseline,0.7,0.084261,0.015800542728180274,100
cnn1d,baseline,0.8,0.09067399999999999,0.018483864762696593,100
cnn1d,baseline,0.9,0.105169,0.022330242640052893,100
cnn1d,mim,0.0,0.006997,0.0011270283622398013,100
cnn1d,mim,0.1,0.007026,0.0010213498693178332,100
cnn1d,mim,0.2,0.007068,0.0009424747136441309,100
cnn1d,mim,0.3,0.007207,0.0008953589653137319,100
cnn1d,mim,0.4,0.007461,0.0008611590732814407,100
cnn1d,mim,0.5,0.007829000000000001,0.0008849236684538952,100
cnn1d,mim,0.6,0.008453,0.0009506462448399416,100
cnn1d,mim,0.7,0.009689999999999999,0.0010941072648834333,100
cnn1d,mim,0.8,0.012412000000000001,0.0016547012913623914,100
cnn1d,mim,0.9,0.019713,0.002554008732573286,100
gru,baseline,0.0,0.007436000000000001,0.0013122207254586521,100
gru,baseline,0.1,0.009515000000000001,0.0017279856317210349,100
gru,baseline,0.2,0.011757,0.0021741016953717184,100
gru,baseline,0.3,0.014276,0.0023860334355485374,100
gru,baseline,0.4,0.017181,0.002435789337559737,100
gru,baseline,0.5,0.02016,0.0023108877125905584,100
gru,baseline,0.6,0.023656,0.002224079425948924,100
gru,baseline,0.7,0.026987999999999998,0.0017600091827125008,100
gru,baseline,0.8,0.030662,0.001387008990379637,100
gru,baseline,0.9,0.034442,0.0012299445663783543,100
gru,mim,0.0,0.006921,0.0019337144347476734,100
gru,mim,0.1,0.007149,0.0017933938820464442,100
gru,mim,0.2,0.007387,0.0017055260748282894,100
gru,mim,0.3,0.007659,0.0016371998144158314,100
gru,mim,0.4,0.007999,0.0016072119658060984,100
gru,mim,0.5,0.008392,0.0016690092627639666,100
gru,mim,0.6,0.009018,0.0017856543943780426,100
gru,mim,0.7,0.010502000000000001,0.0020400524849655565,100
gru,mim,0.8,0.014413,0.0026798784459091587,100
gru,mim,0.9,0.023829,0.0033264563909981013,100
lstm,baseline,0.0,0.007300999999999999,0.0010008577129723098,100
lstm,baseline,0.1,0.007749000000000001,0.000925562346125671,100
lstm,baseline,0.2,0.008591,0.0008364300039543961,100
lstm,baseline,0.3,0.009816,0.0008396391721411876,100
lstm,baseline,0.4,0.012367999999999999,0.0013913789395902738,100
lstm,baseline,0.5,0.016831,0.003391245264566462,100
lstm,baseline,0.6,0.023955999999999998,0.006826424001368845,100
lstm,baseline,0.7,0.032497,0.011166322518441721,100
lstm,baseline,0.8,0.042307,0.015774069342955343,100
lstm,baseline,0.9,0.054139999999999994,0.019870220345171226,100
lstm,mim,0.0,0.00675050505050505,0.0011417292414090644,99
lstm,mim,0.1,0.006791919191919192,0.00114372081362799,99
lstm,mim,0.2,0.006877777777777777,0.0011079080816838178,99
lstm,mim,0.3,0.007021212121212122,0.001080558503291354,99
lstm,mim,0.4,0.0073363636363636365,0.001041824787009533,99
lstm,mim,0.5,0.00787878787878788,0.0009890495052995122,99
lstm,mim,0.6,0.008491919191919191,0.0009340144612432854,99
lstm,mim,0.7,0.009931313131313131,0.0008882046170588085,99
lstm,mim,0.8,0.013284848484848484,0.001030787655676289,99
lstm,mim,0.9,0.02221919191919192,0.0015533161870903457,99
mlp,baseline,0.0,0.01365,0.005158448987786538,100
mlp,baseline,0.1,0.014712000000000001,0.004897954221463851,100
mlp,baseline,0.2,0.015976999999999998,0.004685478426031655,100
mlp,baseline,0.3,0.017903,0.004454720683009918,100
mlp,baseline,0.4,0.020401,0.004348028579166946,100
mlp,baseline,0.5,0.022863,0.004126770327184849,100
mlp,baseline,0.6,0.025971,0.003921355542784829,100
mlp,baseline,0.7,0.028961,0.003594128067509081,100
mlp,baseline,0.8,0.031499,0.003109662198679945,100
mlp,baseline,0.9,0.035255999999999996,0.002409841773589579,100
mlp,mim,0.0,0.006261616161616162,0.000576532044298913,99
mlp,mim,0.1,0.006494949494949495,0.0005303779432907576,99
mlp,mim,0.2,0.006774747474747474,0.0004959722330821111,99
mlp,mim,0.3,0.006988888888888888,0.0004823177225517722,99
mlp,mim,0.4,0.007438383838383839,0.00047909503780183417,99
mlp,mim,0.5,0.008235353535353535,0.0004712798751019922,99
mlp,mim,0.6,0.009336363636363636,0.000551149919501249,99
mlp,mim,0.7,0.011078787878787879,0.0005243601985379521,99
mlp,mim,0.8,0.013785858585858585,0.0005434226567595544,99
mlp,mim,0.9,0.022572727272727276,0.0006634508089385846,99
